j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
 1.362;  1.382; -1.775;  0.208;  0.188; -0.203;  0.978;  0.982; -0.979; -0.009;  0.227;  0.885;  0.466
 1.664;  1.425; -1.763; -0.094;  0.145; -0.191;  0.996;  0.989; -0.982; -0.083;  0.211;  0.788;  0.616
 1.973;  1.463; -1.802; -0.391;  0.108; -0.229;  0.920;  0.994; -0.973; -0.142;  0.173;  0.685;  0.729
 2.284;  1.549; -1.819; -0.654;  0.022; -0.245;  0.757;  1.000; -0.969; -0.190;  0.111;  0.535;  0.845
 2.542;  1.703; -1.813; -0.825; -0.132; -0.240;  0.564;  0.991; -0.971; -0.211;  0.039;  0.348;  0.938
 2.793;  1.840; -1.784; -0.940; -0.266; -0.212;  0.342;  0.964; -0.977; -0.208; -0.032;  0.153;  0.988
 3.108;  1.848; -1.694; -0.999; -0.273; -0.123;  0.033;  0.962; -0.992; -0.185; -0.107; -0.061;  0.998
 3.268;  1.828; -1.541; -0.992; -0.255;  0.030; -0.126;  0.967; -1.000; -0.161; -0.151; -0.210;  0.978
 3.239;  1.815; -1.339; -0.995; -0.242;  0.230; -0.098;  0.970; -0.973; -0.158; -0.164; -0.284;  0.959
 3.170;  1.808; -1.088; -1.000; -0.235;  0.464; -0.028;  0.972; -0.886; -0.154; -0.174; -0.365;  0.931
 3.082;  1.790; -0.782; -0.998; -0.217;  0.710;  0.060;  0.976; -0.704; -0.148; -0.182; -0.457;  0.890
 3.007;  1.772; -0.440; -0.991; -0.200;  0.905;  0.134;  0.980; -0.426; -0.133; -0.189; -0.564;  0.826
 2.957;  1.769; -0.119; -0.983; -0.197;  0.993;  0.184;  0.980; -0.119; -0.109; -0.191; -0.669;  0.743
 2.958;  1.755;  0.203; -0.983; -0.183;  0.979;  0.183;  0.983;  0.202; -0.076; -0.189; -0.775;  0.632
 3.018;  1.734;  0.535; -0.992; -0.163;  0.860;  0.123;  0.987;  0.509; -0.035; -0.180; -0.879;  0.478
 3.074;  1.756;  0.819; -0.998; -0.184;  0.683;  0.068;  0.983;  0.730;  0.001; -0.158; -0.950;  0.312
 3.104;  1.807;  1.056; -0.999; -0.234;  0.492;  0.038;  0.972;  0.870;  0.024; -0.128; -0.988;  0.157
 3.113;  1.819;  1.314; -1.000; -0.246;  0.254;  0.028;  0.969;  0.967;  0.032; -0.099; -1.000;  0.018
 3.127;  1.791;  1.635; -1.000; -0.218; -0.064;  0.015;  0.976;  0.998;  0.026; -0.067; -0.991; -0.134
 3.160;  1.732;  1.893; -1.000; -0.161; -0.316; -0.019;  0.987;  0.949;  0.014; -0.046; -0.967; -0.255
 3.144;  1.669;  1.899; -1.000; -0.098; -0.322; -0.003;  0.995;  0.947;  0.010; -0.054; -0.977; -0.214
 3.112;  1.597;  1.833; -1.000; -0.026; -0.259;  0.029;  1.000;  0.966;  0.006; -0.069; -0.992; -0.129
 3.052;  1.521;  1.771; -0.996;  0.050; -0.199;  0.090;  0.999;  0.980; -0.004; -0.083; -1.000; -0.030
 2.926;  1.460;  1.728; -0.977;  0.110; -0.156;  0.214;  0.994;  0.988; -0.021; -0.092; -0.996;  0.085
 2.806;  1.390;  1.662; -0.944;  0.179; -0.091;  0.330;  0.984;  0.996; -0.044; -0.099; -0.977;  0.211
 2.679;  1.285;  1.589; -0.895;  0.282; -0.018;  0.447;  0.960;  1.000; -0.076; -0.102; -0.934;  0.357
 2.554;  1.200;  1.480; -0.832;  0.363;  0.091;  0.555;  0.932;  0.996; -0.110; -0.097; -0.865;  0.501
 2.495;  1.108;  1.321; -0.798;  0.447;  0.247;  0.603;  0.895;  0.969; -0.146; -0.092; -0.778;  0.628
 2.463;  1.012;  1.143; -0.779;  0.530;  0.415;  0.628;  0.848;  0.910; -0.183; -0.080; -0.673;  0.740
 2.403;  0.964;  0.997; -0.739;  0.571;  0.543;  0.673;  0.821;  0.840; -0.209; -0.058; -0.574;  0.819
 2.281;  0.939;  0.911; -0.652;  0.591;  0.613;  0.758;  0.807;  0.790; -0.225; -0.024; -0.474;  0.880
 2.132;  0.902;  0.846; -0.532;  0.620;  0.663;  0.846;  0.784;  0.749; -0.234;  0.021; -0.361;  0.933
 1.995;  0.821;  0.815; -0.412;  0.682;  0.686;  0.911;  0.732;  0.728; -0.233;  0.072; -0.242;  0.970
 1.830;  0.690;  0.784; -0.256;  0.771;  0.708;  0.967;  0.637;  0.706; -0.215;  0.137; -0.081;  0.997
 1.658;  0.552;  0.685; -0.087;  0.851;  0.775;  0.996;  0.525;  0.632; -0.175;  0.207;  0.123;  0.992
 1.507;  0.422;  0.547;  0.063;  0.912;  0.854;  0.998;  0.410;  0.520; -0.115;  0.261;  0.326;  0.945
 1.358;  0.307;  0.397;  0.212;  0.953;  0.922;  0.977;  0.302;  0.386; -0.040;  0.294;  0.514;  0.858
 1.246;  0.226;  0.232;  0.319;  0.975;  0.973;  0.948;  0.224;  0.230;  0.027;  0.303;  0.658;  0.753
 1.178;  0.116;  0.059;  0.382;  0.993;  0.998;  0.924;  0.115;  0.059;  0.089;  0.296;  0.780;  0.626
 1.102; -0.047; -0.097;  0.452;  0.999;  0.995;  0.892; -0.047; -0.097;  0.158;  0.266;  0.888;  0.461
 1.020; -0.188; -0.229;  0.523;  0.982;  0.974;  0.852; -0.187; -0.227;  0.210;  0.222;  0.955;  0.297
 0.937; -0.284; -0.319;  0.592;  0.960;  0.950;  0.806; -0.280; -0.313;  0.243;  0.177;  0.986;  0.167
 0.807; -0.369; -0.376;  0.692;  0.933;  0.930;  0.722; -0.361; -0.367;  0.270;  0.121;  1.000;  0.031
 0.639; -0.436; -0.448;  0.803;  0.907;  0.901;  0.596; -0.422; -0.433;  0.285;  0.053;  0.993; -0.122
 0.504; -0.447; -0.515;  0.876;  0.902;  0.870;  0.483; -0.433; -0.493;  0.286;  0.005;  0.974; -0.227
 0.420; -0.433; -0.568;  0.913;  0.908;  0.843;  0.408; -0.420; -0.538;  0.283; -0.021;  0.958; -0.286
 0.371; -0.466; -0.605;  0.932;  0.893;  0.823;  0.363; -0.449; -0.568;  0.277; -0.044;  0.939; -0.343
 0.349; -0.557; -0.638;  0.940;  0.849;  0.803;  0.342; -0.528; -0.596;  0.265; -0.069;  0.912; -0.411
 0.317; -0.691; -0.686;  0.950;  0.771;  0.774;  0.312; -0.637; -0.633;  0.242; -0.101;  0.863; -0.506
 0.297; -0.845; -0.705;  0.956;  0.663;  0.761;  0.293; -0.748; -0.648;  0.215; -0.127;  0.810; -0.586
 0.306; -1.011; -0.711;  0.954;  0.531;  0.758;  0.301; -0.847; -0.652;  0.188; -0.143;  0.760; -0.650
 0.355; -1.159; -0.743;  0.938;  0.400;  0.736;  0.348; -0.916; -0.677;  0.166; -0.147;  0.715; -0.699
 0.402; -1.267; -0.797;  0.920;  0.299;  0.699;  0.392; -0.954; -0.715;  0.147; -0.146;  0.674; -0.738
 0.428; -1.354; -0.860;  0.910;  0.215;  0.653;  0.415; -0.977; -0.758;  0.128; -0.146;  0.627; -0.779
