j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 2.144; -1.929; -0.543; -0.350;  0.840; -0.937;  0.053;  0.108;  0.994;  0.108
 1.926; -1.728; -0.348; -0.156;  0.938; -0.988;  0.073;  0.115;  0.995;  0.099
 1.687; -1.535; -0.116;  0.036;  0.993; -0.999;  0.097;  0.116;  0.997;  0.076
 1.445; -1.366;  0.126;  0.203;  0.992; -0.979;  0.122;  0.108;  0.999;  0.039
 1.231; -1.217;  0.333;  0.347;  0.943; -0.938;  0.143;  0.096;  1.000;  0.007
 1.042; -1.123;  0.504;  0.433;  0.864; -0.902;  0.160;  0.077;  0.999; -0.041
 0.881; -1.097;  0.636;  0.456;  0.771; -0.890;  0.171;  0.054;  0.994; -0.108
 0.699; -1.120;  0.766;  0.436;  0.643; -0.900;  0.177;  0.019;  0.978; -0.209
 0.464; -1.140;  0.894;  0.418;  0.448; -0.909;  0.175; -0.024;  0.943; -0.331
 0.202; -1.140;  0.980;  0.417;  0.201; -0.909;  0.163; -0.069;  0.892; -0.452
-0.101; -1.178;  0.995;  0.383; -0.101; -0.924;  0.131; -0.115;  0.802; -0.597
-0.444; -1.241;  0.903;  0.324; -0.430; -0.946;  0.078; -0.152;  0.666; -0.746
-0.808; -1.327;  0.691;  0.241; -0.723; -0.970;  0.010; -0.165;  0.482; -0.876
-1.211; -1.445;  0.352;  0.126; -0.936; -0.992; -0.062; -0.145;  0.241; -0.971
-1.629; -1.545; -0.058;  0.026; -0.998; -1.000; -0.116; -0.096; -0.016; -1.000
-2.041; -1.625; -0.453; -0.054; -0.891; -0.999; -0.141; -0.034; -0.259; -0.966
-2.475; -1.663; -0.786; -0.092; -0.618; -0.996; -0.138;  0.031; -0.478; -0.878
-2.892; -1.677; -0.969; -0.106; -0.247; -0.994; -0.113;  0.084; -0.655; -0.756
-3.219; -1.735; -0.997; -0.164;  0.077; -0.986; -0.079;  0.111; -0.773; -0.635
-3.252; -1.862; -0.994; -0.287;  0.110; -0.958; -0.056;  0.112; -0.835; -0.550
-3.212; -1.995; -0.997; -0.412;  0.071; -0.911; -0.047;  0.104; -0.859; -0.512
-3.146; -2.106; -1.000; -0.510;  0.005; -0.860; -0.043;  0.095; -0.870; -0.493
-3.076; -2.184; -0.998; -0.576; -0.066; -0.818; -0.042;  0.087; -0.872; -0.489
-3.061; -2.205; -0.997; -0.593; -0.080; -0.805; -0.042;  0.086; -0.874; -0.487
-3.053; -2.218; -0.996; -0.603; -0.088; -0.798; -0.041;  0.084; -0.875; -0.485
-2.979; -2.206; -0.987; -0.593; -0.162; -0.805; -0.049;  0.082; -0.853; -0.522
-2.857; -2.123; -0.960; -0.524; -0.281; -0.851; -0.067;  0.078; -0.795; -0.606
-2.763; -2.003; -0.929; -0.419; -0.370; -0.908; -0.087;  0.073; -0.726; -0.688
