j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
-0.796;  1.267;  0.675;  0.162; -0.653;  0.700;  0.299;  0.781;  0.987;  0.795; -0.714;  0.954;  0.625;  0.161; -0.607;  0.324; -0.227;  0.021;  0.541;  0.172;  0.820;  0.075
-0.651;  1.162;  0.585;  0.200; -0.822;  0.795;  0.397;  0.834;  0.980;  0.681; -0.606;  0.918;  0.552;  0.199; -0.732;  0.365; -0.168;  0.087;  0.594;  0.030;  0.790;  0.148
-0.495;  1.075;  0.489;  0.271; -0.924;  0.880;  0.475;  0.883;  0.963;  0.602; -0.475;  0.880;  0.470;  0.268; -0.798;  0.386; -0.100;  0.139;  0.614; -0.088;  0.756;  0.210
-0.345;  0.989;  0.397;  0.380; -0.972;  0.941;  0.549;  0.922;  0.929;  0.564; -0.339;  0.836;  0.387;  0.371; -0.826;  0.390; -0.035;  0.180;  0.615; -0.175;  0.724;  0.259
-0.225;  0.886;  0.333;  0.489; -1.021;  0.975;  0.632;  0.945;  0.883;  0.523; -0.223;  0.775;  0.327;  0.470; -0.852;  0.378;  0.018;  0.218;  0.611; -0.245;  0.690;  0.302
-0.081;  0.755;  0.305;  0.566; -1.099;  0.997;  0.728;  0.954;  0.844;  0.455; -0.081;  0.686;  0.300;  0.537; -0.891;  0.348;  0.079;  0.259;  0.601; -0.333;  0.634;  0.355
 0.060;  0.590;  0.327;  0.617; -1.212;  0.998;  0.831;  0.947;  0.816;  0.351;  0.060;  0.557;  0.322;  0.578; -0.936;  0.298;  0.130;  0.299;  0.580; -0.427;  0.558;  0.413
 0.192;  0.419;  0.362;  0.631; -1.377;  0.982;  0.913;  0.935;  0.807;  0.192;  0.191;  0.407;  0.354;  0.590; -0.981;  0.231;  0.165;  0.335;  0.545; -0.529;  0.452;  0.467
 0.318;  0.219;  0.378;  0.628; -1.582;  0.950;  0.976;  0.929;  0.809; -0.011;  0.313;  0.217;  0.369;  0.587; -1.000;  0.145;  0.174;  0.372;  0.503; -0.639;  0.307;  0.495
 0.394; -0.003;  0.399;  0.658; -1.644;  0.923;  1.000;  0.922;  0.791; -0.073;  0.384; -0.003;  0.388;  0.612; -0.997;  0.078;  0.162;  0.399;  0.503; -0.689;  0.211;  0.477
